Country,Month,AvgDailyConfirmed,AvgDailyDeaths,AvgDailyRecovered,avg(AverageTemperature),avg(AverageTemperatureUncertainty)
Afghanistan,1,112.80645161290323,6.741935483870968,192.0,1.4907,0.5155
Afghanistan,2,20.323529411764707,1.2647058823529411,48.64705882352941,3.680838709677419,0.5390967741935485
Afghanistan,3,14.741935483870968,0.7258064516129032,35.83870967741935,9.275645161290322,0.42087096774193544
Afghanistan,4,87.38333333333334,3.35,31.85,15.433612903225807,0.41329032258064513
Afghanistan,5,407.8181818181818,6.242424242424242,37.96969696969697,21.15522580645161,0.4093225806451613
Afghanistan,6,543.3,16.466666666666665,426.76666666666665,25.777709677419352,0.4203225806451613
Afghanistan,7,166.38709677419354,17.161290322580644,367.03225806451616,27.637322580645165,0.41003225806451626
Afghanistan,8,48.193548387096776,3.838709677419355,115.48387096774194,26.12467741935484,0.3848064516129032
Afghanistan,9,36.96666666666667,1.9,123.33333333333333,21.301129032258064,0.39916129032258074
Afghanistan,10,69.58064516129032,2.5161290322580645,49.41935483870968,14.859612903225807,0.4230322580645161
Afghanistan,11,161.63333333333333,8.566666666666666,83.66666666666667,9.024548387096774,0.4293548387096774
Afghanistan,12,169.41935483870967,12.774193548387096,157.93548387096774,3.471677419354839,0.4718064516129031
Albania,1,639.0645161290323,6.419354838709677,444.83870967741933,3.8684333333333343,0.4880999999999999
Albania,2,1037.142857142857,14.857142857142858,798.1785714285714,4.739967741935483,0.33338709677419354
Albania,3,337.6111111111111,8.407407407407407,399.0740740740741,8.000419354838709,0.23825806451612905
Albania,4,107.63333333333334,2.9166666666666665,308.0833333333333,11.684419354838708,0.27203225806451614
Albania,5,15.666666666666666,0.15151515151515152,60.121212121212125,16.636709677419358,0.2708387096774193
Albania,6,46.6,0.9666666666666667,19.566666666666666,20.648709677419358,0.33722580645161293
Albania,7,88.41935483870968,3.064516129032258,48.16129032258065,23.24477419354839,0.3512903225806452
Albania,8,136.67741935483872,4.096774193548387,72.96774193548387,23.107451612903226,0.3127096774193549
Albania,9,137.86666666666667,3.433333333333333,87.76666666666667,18.940354838709684,0.29829032258064514
Albania,10,233.09677419354838,3.935483870967742,107.80645161290323,14.068935483870966,0.27987096774193554
Albania,11,576.9,10.033333333333333,255.33333333333334,9.078483870967743,0.2991935483870968
Albania,12,649.483870967742,11.96774193548387,476.93548387096774,4.998774193548388,0.39567741935483874
Algeria,1,249.32258064516128,4.354838709677419,200.5483870967742,12.264766666666668,0.3592
Algeria,2,174.33333333333334,2.787878787878788,144.06060606060606,14.991064516129033,0.3389354838709677
Algeria,3,77.66129032258064,2.4838709677419355,56.225806451612904,19.213354838709673,0.3086774193548387
Algeria,4,136.76666666666668,9.433333333333334,88.38333333333334,23.535129032258066,0.32958064516129026
Algeria,5,175.8181818181818,6.666666666666667,129.06060606060606,28.228935483870966,0.3661935483870967
Algeria,6,150.43333333333334,8.633333333333333,138.3,32.5675806451613,0.4036129032258064
Algeria,7,531.8387096774194,9.612903225806452,343.2258064516129,34.59312903225806,0.40051612903225803
Algeria,8,454.83870967741933,9.67741935483871,345.38709677419354,33.971000000000004,0.37925806451612915
Algeria,9,234.53333333333333,7.533333333333333,164.33333333333334,30.573451612903227,0.3770322580645162
Algeria,10,206.83870967741936,7.354838709677419,129.90322580645162,24.785774193548384,0.33887096774193554
Algeria,11,841.9,15.566666666666666,453.6,18.351064516129032,0.3528064516129032
Algeria,12,529.3870967741935,10.483870967741936,429.61290322580646,13.429,0.34003225806451615
Andorra,1,60.903225806451616,0.5483870967741935,53.58064516129032,4.406666666666666,0.3420666666666667
Andorra,2,33.17857142857143,0.32142857142857145,48.32142857142857,5.411709677419354,0.2626774193548388
Andorra,3,24.901639344262296,0.2786885245901639,14.40983606557377,8.115,0.2664193548387097
Andorra,4,26.516666666666666,0.6666666666666666,30.45,10.111709677419356,0.2570322580645162
Andorra,5,2.090909090909091,0.3333333333333333,8.93939393939394,14.134161290322584,0.24090322580645165
Andorra,6,3.033333333333333,0.03333333333333333,3.5,18.097354838709677,0.286
Andorra,7,2.2580645161290325,0.0,0.25806451612903225,21.023516129032256,0.3197741935483871
Andorra,8,8.096774193548388,0.03225806451612903,3.2580645161290325,20.74658064516129,0.29112903225806447
Andorra,9,29.133333333333333,0.0,17.466666666666665,17.141677419354842,0.2794516129032259
Andorra,10,87.29032258064517,0.7096774193548387,65.90322580645162,12.847129032258064,0.23796774193548384
Andorra,11,66.3,0.03333333333333333,79.93333333333334,8.05616129032258,0.27506451612903227
Andorra,12,42.064516129032256,0.25806451612903225,50.29032258064516,5.022741935483871,0.29254838709677417
Angola,1,72.35483870967742,1.967741935483871,225.51612903225808,22.85703333333333,0.6766333333333334
Angola,2,36.107142857142854,1.5,45.964285714285715,23.333096774193546,0.5873225806451614
Angola,3,35.116279069767444,0.7209302325581395,27.25581395348837,23.592161290322583,0.5769354838709678
Angola,4,72.68333333333334,0.9833333333333333,56.483333333333334,22.96090322580645,0.5068064516129033
Angola,5,12.121212121212121,0.24242424242424243,1.4545454545454546,21.65990322580645,0.6489032258064513
Angola,6,6.6,0.3,2.5,19.59412903225806,0.6313548387096775
Angola,7,27.870967741935484,1.2580645161290323,11.096774193548388,19.289129032258067,0.6587419354838708
Angola,8,48.58064516129032,1.8064516129032258,20.451612903225808,21.323193548387092,0.6249032258064515
Angola,9,77.26666666666667,2.5,29.0,23.545935483870974,0.6464516129032256
Angola,10,188.16129032258064,3.2580645161290325,83.29032258064517,24.039322580645166,0.5469677419354838
