State,sum(Population),sum(Deaths)
California,3.9512223E7,61939.0
Texas,2.8995881E7,50290.0
Florida,2.1477737E7,35268.0
New York,1.9453561E7,52358.0
Pennsylvania,1.2801989E7,26237.0
Illinois,1.2671821E7,24358.0
Ohio,1.16891E7,19284.0
Georgia,1.0617423E7,20212.0
North Carolina,1.0488084E7,12651.0
Michigan,9986857.0,18893.0
