Country,Month,AvgDailyConfirmed,AvgDailyDeaths,AvgDailyRecovered
Kuwait,10,669.1612903225806,5.451612903225806,650.7741935483871
Kuwait,11,556.9666666666667,3.3666666666666667,673.6333333333333
Kuwait,12,256.4193548387097,1.7419354838709677,304.7096774193548
Kyrgyzstan,1,114.64516129032258,1.8387096774193548,163.51612903225808
Kyrgyzstan,2,59.392857142857146,1.9285714285714286,79.39285714285714
Kyrgyzstan,3,53.13333333333333,0.7555555555555555,37.55555555555556
Kyrgyzstan,4,122.93333333333334,1.8666666666666667,79.21666666666667
Kyrgyzstan,5,54.15151515151515,0.696969696969697,37.45454545454545
Kyrgyzstan,6,125.26666666666667,1.5,42.43333333333333
Kyrgyzstan,7,977.3870967741935,42.483870967741936,728.8387096774194
Kyrgyzstan,8,261.06451612903226,-10.32258064516129,432.96774193548384
Kyrgyzstan,9,92.36666666666666,0.2,147.33333333333334
Kyrgyzstan,10,393.83870967741933,2.5806451612903225,229.16129032258064
Kyrgyzstan,11,476.6666666666667,4.366666666666666,490.93333333333334
Kyrgyzstan,12,253.41935483870967,2.5806451612903225,361.51612903225805
Laos,1,0.0967741935483871,0.0,0.03225806451612903
Laos,2,0.03571428571428571,0.0,0.03571428571428571
Laos,3,0.28205128205128205,0.0,0.07692307692307693
Laos,4,11.966666666666667,0.0,0.23333333333333334
Laos,5,5.333333333333333,0.0,0.24242424242424243
Laos,6,0.0,0.0,0.1
Laos,7,0.03225806451612903,0.0,0.0
Laos,8,0.06451612903225806,0.0,0.06451612903225806
Laos,9,0.03333333333333333,0.0,0.03333333333333333
Laos,10,0.03225806451612903,0.0,0.0
Laos,11,0.5,0.0,0.13333333333333333
Laos,12,0.06451612903225806,0.0,0.45161290322580644
Latvia,1,817.3225806451613,18.06451612903226,889.4516129032259
Latvia,2,712.3214285714286,15.107142857142858,734.6071428571429
Latvia,3,271.7049180327869,4.60655737704918,301.26229508196724
Latvia,4,277.5833333333333,4.116666666666666,240.28333333333333
Latvia,5,42.42424242424242,0.6666666666666666,49.84848484848485
Latvia,6,1.7333333333333334,0.2,7.633333333333334
Latvia,7,3.6451612903225805,0.06451612903225806,2.5161290322580645
Latvia,8,5.32258064516129,0.06451612903225806,3.5806451612903225
Latvia,9,14.266666666666667,0.1,4.8
Latvia,10,131.29032258064515,1.096774193548387,3.193548387096774
Latvia,11,372.7,4.5,12.966666666666667
Latvia,12,768.6774193548387,13.838709677419354,816.7096774193549
Lebanon,1,3856.4193548387098,52.064516129032256,1707.032258064516
Lebanon,2,2000.027027027027,43.513513513513516,2992.2432432432433
Lebanon,3,1513.1612903225807,25.06451612903226,1276.3548387096773
Lebanon,4,973.8833333333333,17.6,1509.1333333333334
Lebanon,5,64.39393939393939,1.4848484848484849,124.24242424242425
Lebanon,6,18.6,0.23333333333333334,15.7
Lebanon,7,89.58064516129032,0.8709677419354839,18.64516129032258
Lebanon,8,411.38709677419354,3.4193548387096775,98.38709677419355
Lebanon,9,744.2,6.666666666666667,425.1333333333333
Lebanon,10,1341.741935483871,8.709677419354838,776.0967741935484
Lebanon,11,1557.2,12.7,1380.3333333333333
Lebanon,12,1727.7096774193549,14.516129032258064,1449.1935483870968
Lesotho,1,179.67741935483872,3.903225806451613,34.58064516129032
Lesotho,2,65.25,4.285714285714286,42.607142857142854
Lesotho,3,6.935483870967742,0.7419354838709677,23.419354838709676
Lesotho,4,0.8333333333333334,0.03333333333333333,59.86666666666667
Lesotho,5,0.14285714285714285,0.09523809523809523,0.047619047619047616
Lesotho,6,0.8333333333333334,0.0,0.1
Lesotho,7,18.612903225806452,0.41935483870967744,4.516129032258065
Lesotho,8,15.516129032258064,0.5806451612903226,12.387096774193548
Lesotho,9,17.0,0.16666666666666666,11.5
Lesotho,10,11.548387096774194,0.25806451612903225,3.2903225806451615
Lesotho,11,5.2,0.0,10.1
Lesotho,12,31.774193548387096,0.22580645161290322,6.516129032258065
Liberia,1,5.161290322580645,0.03225806451612903,11.419354838709678
Liberia,2,2.6785714285714284,0.03571428571428571,4.428571428571429
Liberia,3,0.6382978723404256,0.0,0.3191489361702128
Liberia,4,3.25,0.26666666666666666,1.5833333333333333
Liberia,5,4.454545454545454,0.3333333333333333,3.393939393939394
Liberia,6,16.4,0.3,5.566666666666666
Liberia,7,13.096774193548388,1.2580645161290323,11.161290322580646
Liberia,8,3.806451612903226,0.22580645161290322,6.516129032258065
Liberia,9,1.3,0.0,11.633333333333333
Liberia,10,2.6774193548387095,0.0,1.8709677419354838
Liberia,11,5.633333333333334,0.03333333333333333,2.1333333333333333
Liberia,12,5.935483870967742,0.0,2.032258064516129
Libya,1,592.0645161290323,12.870967741935484,858.0322580645161
Libya,2,525.25,10.785714285714286,769.0714285714286
Libya,3,657.1282051282051,12.512820512820513,689.9487179487179
Libya,4,310.03333333333336,6.083333333333333,267.68333333333334
Libya,5,13.878787878787879,0.36363636363636365,16.939393939393938
Libya,6,22.266666666666666,0.6333333333333333,5.233333333333333
Libya,7,90.2258064516129,1.6129032258064515,13.193548387096774
Libya,8,333.7096774193548,5.258064516129032,27.129032258064516
Libya,9,685.3,10.466666666666667,596.7333333333333
Libya,10,857.0967741935484,9.870967741935484,505.4516129032258
Libya,11,723.8,10.866666666666667,626.2666666666667
Libya,12,563.483870967742,9.516129032258064,589.9677419354839
Liechtenstein,1,11.516129032258064,0.41935483870967744,17.483870967741936
Liechtenstein,2,2.642857142857143,0.07142857142857142,4.714285714285714
Liechtenstein,3,2.8813559322033897,0.03389830508474576,1.423728813559322
Liechtenstein,4,4.5,0.03333333333333333,4.65
Liechtenstein,5,0.42424242424242425,0.0,0.0
Liechtenstein,6,0.0,0.0,0.8666666666666667
Liechtenstein,7,0.1935483870967742,0.0,0.12903225806451613
Liechtenstein,8,0.6129032258064516,0.0,0.3870967741935484
Liechtenstein,9,0.36666666666666664,0.0,0.5333333333333333
Liechtenstein,10,13.387096774193548,0.06451612903225806,7.548387096774194
Liechtenstein,11,24.566666666666666,0.43333333333333335,24.7
Liechtenstein,12,27.93548387096774,0.7419354838709677,23.29032258064516
Lithuania,1,1309.2903225806451,32.645161290322584,2115.8709677419356
Lithuania,2,553.4333333333333,14.533333333333333,746.4333333333333
Lithuania,3,281.30645161290323,5.387096774193548,229.6451612903226
Lithuania,4,534.2833333333333,6.283333333333333,399.8333333333333
Lithuania,5,81.9090909090909,1.4848484848484849,93.9090909090909
Lithuania,6,4.833333333333333,0.23333333333333334,8.2
Lithuania,7,8.290322580645162,0.06451612903225806,4.193548387096774
Lithuania,8,26.806451612903224,0.1935483870967742,9.96774193548387
Lithuania,9,59.6,0.26666666666666666,29.366666666666667
Lithuania,10,326.6774193548387,2.4193548387096775,85.16129032258064
Lithuania,11,1549.8666666666666,15.6,751.4333333333333
Lithuania,12,2601.4193548387098,37.935483870967744,2218.451612903226
Luxembourg,1,128.16129032258064,2.6451612903225805,214.09677419354838
Luxembourg,2,162.82758620689654,2.0689655172413794,133.51724137931035
Luxembourg,3,140.46774193548387,2.129032258064516,91.69354838709677
